epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8135,1.34716,2.08826,1.10695,0.58468,0.57196,0.59143,0.40591,1.08321,1.32517,1.02726,0.000413889,0.000413889,0.000413889
2,141.206,1.26184,1.3874,1.08553,0.56438,0.54184,0.53372,0.3675,1.14802,1.48377,1.08792,0.000814111,0.000814111,0.000814111
3,209.218,1.25322,1.30683,1.08565,0.61432,0.53761,0.57812,0.3976,1.12065,1.32856,1.09083,0.00119783,0.00119783,0.00119783
4,274.06,1.21836,1.21808,1.07444,0.70147,0.62616,0.68817,0.47414,1.08108,1.08183,1.05797,0.00117575,0.00117575,0.00117575
5,339.24,1.20889,1.17828,1.06797,0.6505,0.55213,0.64567,0.45907,1.09913,1.20242,1.05609,0.001151,0.001151,0.001151
6,405.342,1.18721,1.13545,1.06725,0.72355,0.59857,0.68637,0.49367,1.02233,1.04364,1.03971,0.00112625,0.00112625,0.00112625
7,471.656,1.1874,1.10819,1.0654,0.76145,0.63755,0.714,0.52096,1.00919,0.97511,1.03285,0.0011015,0.0011015,0.0011015
8,535.893,1.14969,1.05669,1.04872,0.75947,0.62156,0.69965,0.51707,0.99435,0.98295,1.02137,0.00107675,0.00107675,0.00107675
9,599.899,1.1396,1.04199,1.04498,0.74853,0.65141,0.736,0.54846,0.97411,0.91501,1.01632,0.001052,0.001052,0.001052
10,664.351,1.11501,1.0135,1.03861,0.72286,0.63568,0.71127,0.52046,0.99416,0.99649,1.02135,0.00102725,0.00102725,0.00102725
11,730.92,1.10748,0.99055,1.03319,0.82219,0.66888,0.77478,0.57174,0.95462,0.86268,0.99881,0.0010025,0.0010025,0.0010025
12,795.648,1.11298,0.98024,1.03411,0.76075,0.68679,0.76592,0.56979,0.94877,0.90895,1.00633,0.00097775,0.00097775,0.00097775
13,860.836,1.08915,0.96046,1.02974,0.7848,0.67957,0.77458,0.57383,0.96905,0.84643,1.01039,0.000953,0.000953,0.000953
14,926.433,1.09392,0.93905,1.02752,0.84064,0.66138,0.77937,0.58666,0.93703,0.84607,0.99401,0.00092825,0.00092825,0.00092825
15,992.877,1.07924,0.92398,1.02103,0.8096,0.68655,0.7934,0.59719,0.94998,0.83448,0.9959,0.0009035,0.0009035,0.0009035
16,1058.38,1.0757,0.92481,1.0202,0.76166,0.69847,0.77806,0.58652,0.92782,0.82038,0.991,0.00087875,0.00087875,0.00087875
17,1123.31,1.06818,0.90768,1.0192,0.77845,0.70387,0.78608,0.593,0.92853,0.82197,0.99819,0.000854,0.000854,0.000854
18,1189.21,1.04909,0.89564,1.0139,0.83218,0.70771,0.81446,0.6103,0.91327,0.78401,0.99544,0.00082925,0.00082925,0.00082925
19,1254.74,1.05391,0.89487,1.01483,0.76695,0.68752,0.77401,0.58078,0.93363,0.85229,0.99483,0.0008045,0.0008045,0.0008045
20,1319.91,1.04039,0.87447,1.00576,0.84219,0.70069,0.81069,0.63333,0.8883,0.77507,0.97665,0.00077975,0.00077975,0.00077975
21,1383.81,1.04435,0.85981,1.00519,0.8053,0.71992,0.81524,0.62223,0.90706,0.78012,0.98782,0.000755,0.000755,0.000755
22,1451.21,1.02997,0.8611,1.00413,0.76078,0.70876,0.78836,0.60312,0.92154,0.79378,0.98702,0.00073025,0.00073025,0.00073025
23,1518.69,1.03196,0.8585,1.00588,0.81281,0.68977,0.79697,0.60574,0.90863,0.7793,0.9908,0.0007055,0.0007055,0.0007055
24,1585.76,1.01787,0.83472,1,0.84542,0.70661,0.82078,0.63133,0.89045,0.75141,0.9749,0.00068075,0.00068075,0.00068075
25,1655.41,1.02156,0.83329,0.9966,0.82777,0.71133,0.81869,0.63543,0.88466,0.76554,0.97427,0.000656,0.000656,0.000656
26,1721.3,1.00534,0.81883,0.99424,0.79095,0.7471,0.8168,0.63041,0.88961,0.739,0.97253,0.00063125,0.00063125,0.00063125
27,1786.87,1.0027,0.81254,0.99061,0.81571,0.73389,0.82284,0.63167,0.90187,0.7449,0.98663,0.0006065,0.0006065,0.0006065
28,1854.03,1.00034,0.80504,0.98984,0.81539,0.73206,0.81523,0.62675,0.89404,0.74318,0.97703,0.00058175,0.00058175,0.00058175
29,1919.55,0.99782,0.80632,0.98889,0.80834,0.72889,0.82375,0.63675,0.8731,0.73202,0.97035,0.000557,0.000557,0.000557
30,1985.78,0.9805,0.78718,0.98209,0.78017,0.76964,0.82888,0.64256,0.86827,0.71015,0.96708,0.00053225,0.00053225,0.00053225
31,2053.66,0.99218,0.79613,0.98587,0.82238,0.70996,0.81265,0.6322,0.88138,0.72671,0.97441,0.0005075,0.0005075,0.0005075
32,2118.71,0.98004,0.78302,0.97941,0.85254,0.72412,0.83553,0.65268,0.85802,0.70853,0.96355,0.00048275,0.00048275,0.00048275
33,2183.62,0.98154,0.7777,0.98082,0.85059,0.72108,0.82957,0.64292,0.88276,0.71724,0.97421,0.000458,0.000458,0.000458
34,2248.88,0.97619,0.77086,0.97574,0.82695,0.74781,0.83726,0.65392,0.86579,0.6976,0.96546,0.00043325,0.00043325,0.00043325
35,2316.62,0.96159,0.75582,0.97349,0.81817,0.73549,0.83136,0.65295,0.85781,0.70892,0.96674,0.0004085,0.0004085,0.0004085
36,2382.82,0.96466,0.75892,0.97606,0.82922,0.73641,0.83003,0.6549,0.85488,0.68767,0.96091,0.00038375,0.00038375,0.00038375
37,2449.31,0.96049,0.75378,0.97078,0.81477,0.75648,0.84263,0.65964,0.85606,0.69177,0.96241,0.000359,0.000359,0.000359
38,2519.21,0.94669,0.74006,0.96828,0.81961,0.76082,0.83763,0.65804,0.85505,0.70884,0.96191,0.00033425,0.00033425,0.00033425
39,2584.89,0.9518,0.7457,0.97047,0.85294,0.74271,0.84204,0.66136,0.85274,0.68573,0.96045,0.0003095,0.0003095,0.0003095
40,2650.76,0.93652,0.73828,0.96876,0.85911,0.73694,0.84286,0.66424,0.84711,0.68013,0.95814,0.00028475,0.00028475,0.00028475
41,2719.97,0.88033,0.69412,0.95507,0.82965,0.75524,0.8356,0.65241,0.86275,0.69308,0.96531,0.00026,0.00026,0.00026
42,2784.41,0.85239,0.65432,0.94625,0.85681,0.72221,0.831,0.65324,0.85406,0.68769,0.96605,0.00023525,0.00023525,0.00023525
43,2848.43,0.84654,0.65679,0.94468,0.83574,0.7583,0.839,0.65954,0.85178,0.68491,0.96357,0.0002105,0.0002105,0.0002105
44,2912.17,0.84421,0.64812,0.94097,0.86063,0.7302,0.83429,0.66201,0.84749,0.67947,0.96328,0.00018575,0.00018575,0.00018575
45,2976.12,0.84436,0.64157,0.9401,0.82221,0.74597,0.83547,0.66,0.84783,0.66974,0.96123,0.000161,0.000161,0.000161
46,3040.08,0.82676,0.63313,0.93568,0.85848,0.72161,0.8399,0.66713,0.83707,0.66387,0.9529,0.00013625,0.00013625,0.00013625
47,3105.08,0.82672,0.62948,0.93671,0.85355,0.73823,0.84334,0.66953,0.8395,0.66461,0.95568,0.0001115,0.0001115,0.0001115
48,3168.3,0.81389,0.62056,0.93275,0.87318,0.72581,0.83964,0.66796,0.83771,0.66374,0.95708,8.675e-05,8.675e-05,8.675e-05
49,3230.84,0.80978,0.6126,0.92776,0.83992,0.75171,0.84162,0.66871,0.83793,0.65864,0.95633,6.2e-05,6.2e-05,6.2e-05
50,3293.76,0.81426,0.61093,0.93151,0.84577,0.74824,0.84243,0.66911,0.83376,0.65911,0.95522,3.725e-05,3.725e-05,3.725e-05
